book,chapter,question_number,reviewed,review_date
Boyd,8.0,1,0,
Boyd,8.0,2,0,
Boyd,8.0,3,0,
Boyd,8.0,4,0,
Boyd,8.0,5,0,
Boyd,8.0,6,0,
Boyd,8.0,7,0,
Boyd,8.0,8,0,
Boyd,8.0,9,0,
Boyd,8.0,10,0,
Boyd,8.0,11,0,
Boyd,8.0,12,0,
Boyd,8.0,13,0,
Boyd,8.0,14,0,
Boyd,8.0,15,0,
Boyd,8.0,16,0,
Boyd,8.0,17,0,
Boyd,8.0,18,0,
Boyd,8.0,19,0,
Boyd,8.0,20,0,
Boyd,8.0,21,0,
Boyd,8.0,22,0,
Boyd,8.0,23,0,
Boyd,8.0,24,0,
Boyd,8.0,25,0,
Boyd,8.0,26,0,
Boyd,8.0,27,0,
Boyd,8.0,28,0,
Boyd,8.0,29,0,
Boyd,8.0,30,0,
Boyd,7.0,1,0,
Boyd,7.0,2,0,
Boyd,7.0,3,0,
Boyd,7.0,4,0,
Boyd,7.0,5,0,
Boyd,7.0,6,0,
Boyd,7.0,7,0,
Boyd,7.0,8,0,
Boyd,7.0,9,0,
Boyd,7.0,10,0,
Boyd,7.0,11,0,
Boyd,7.0,12,0,
Boyd,7.0,13,0,
Boyd,6.0,1,0,
Boyd,6.0,2,0,
Boyd,6.0,3,0,
Boyd,6.0,4,0,
Boyd,6.0,5,0,
Boyd,6.0,6,0,
Boyd,6.0,7,0,
Boyd,6.0,8,0,
Boyd,6.0,9,0,
Boyd,6.0,10,0,
Boyd,6.0,11,0,
Boyd,6.0,12,0,
Boyd,6.0,13,0,
Boyd,6.0,14,0,
Boyd,3.0,1,0,
Boyd,3.0,2,0,
Boyd,3.0,3,0,
Boyd,3.0,4,0,
Boyd,3.0,5,0,
Boyd,3.0,6,0,
Boyd,3.0,7,0,
Boyd,3.0,8,0,
Boyd,3.0,9,0,
Boyd,3.0,10,0,
Boyd,3.0,11,0,
Boyd,3.0,12,0,
Boyd,3.0,13,0,
Boyd,3.0,14,0,
Boyd,3.0,15,0,
Boyd,3.0,16,0,
Boyd,3.0,17,0,
Boyd,3.0,18,0,
Boyd,3.0,19,0,
Boyd,3.0,20,0,
Boyd,3.0,21,0,
Boyd,3.0,22,0,
Boyd,3.0,23,0,
Boyd,3.0,24,0,
Boyd,3.0,25,0,
Boyd,3.0,26,0,
Boyd,3.0,27,0,
Boyd,3.0,28,0,
Boyd,3.0,29,0,
Boyd,3.0,30,0,
Boyd,3.0,31,0,
Boyd,3.0,32,0,
Boyd,3.0,33,0,
Boyd,3.0,34,0,
Boyd,3.0,35,0,
Boyd,3.0,36,0,
Boyd,3.0,37,0,
Boyd,3.0,38,0,
Boyd,3.0,39,0,
Boyd,3.0,40,0,
Boyd,3.0,41,0,
Boyd,3.0,42,0,
Boyd,3.0,43,0,
Boyd,3.0,44,0,
Boyd,3.0,45,0,
Boyd,3.0,46,0,
Boyd,3.0,47,0,
Boyd,3.0,48,0,
Boyd,3.0,49,0,
Boyd,3.0,50,0,
Boyd,3.0,51,0,
Boyd,3.0,52,0,
Boyd,3.0,53,0,
Boyd,3.0,54,0,
Boyd,3.0,55,0,
Boyd,3.0,56,0,
Boyd,3.0,57,0,
Boyd,3.0,58,0,
Boyd,3.0,59,0,
Boyd,3.0,60,0,
Boyd,4.0,1,0,
Boyd,4.0,2,0,
Boyd,4.0,3,0,
Boyd,4.0,4,0,
Boyd,4.0,5,0,
Boyd,4.0,6,0,
Boyd,4.0,7,0,
Boyd,4.0,8,0,
Boyd,4.0,9,0,
Boyd,4.0,10,0,
Boyd,4.0,11,0,
Boyd,4.0,12,0,
Boyd,4.0,13,0,
Boyd,4.0,14,0,
Boyd,4.0,15,0,
Boyd,4.0,16,0,
Boyd,4.0,17,0,
Boyd,4.0,18,0,
Boyd,4.0,19,0,
Boyd,4.0,20,0,
Boyd,4.0,21,0,
Boyd,4.0,22,0,
Boyd,4.0,23,0,
Boyd,4.0,24,0,
Boyd,4.0,25,0,
Boyd,4.0,26,0,
Boyd,4.0,27,0,
Boyd,4.0,28,0,
Boyd,4.0,29,0,
Boyd,4.0,30,0,
Boyd,4.0,31,0,
Boyd,4.0,32,0,
Boyd,4.0,33,0,
Boyd,4.0,34,0,
Boyd,4.0,35,0,
Boyd,4.0,36,0,
Boyd,4.0,37,0,
Boyd,4.0,38,0,
Boyd,4.0,39,0,
Boyd,4.0,40,0,
Boyd,4.0,41,0,
Boyd,4.0,42,0,
Boyd,4.0,43,0,
Boyd,4.0,44,0,
Boyd,4.0,45,0,
Boyd,4.0,46,0,
Boyd,4.0,47,0,
Boyd,4.0,48,0,
Boyd,4.0,49,0,
Boyd,4.0,50,0,
Boyd,4.0,51,0,
Boyd,4.0,52,0,
Boyd,4.0,53,0,
Boyd,4.0,54,0,
Boyd,4.0,55,0,
Boyd,4.0,56,0,
Boyd,4.0,57,0,
Boyd,4.0,58,0,
Boyd,4.0,59,0,
Boyd,4.0,60,0,
Boyd,4.0,61,0,
Boyd,4.0,62,0,
Boyd,4.0,63,0,
Boyd,4.0,64,0,
Boyd,4.0,65,0,
Boyd,5.0,1,0,
Boyd,5.0,2,0,
Boyd,5.0,3,0,
Boyd,5.0,4,0,
Boyd,5.0,5,0,
Boyd,5.0,6,0,
Boyd,5.0,7,0,
Boyd,5.0,8,0,
Boyd,5.0,9,0,
Boyd,5.0,10,0,
Boyd,5.0,11,0,
Boyd,5.0,12,0,
Boyd,5.0,13,0,
Boyd,5.0,14,0,
Boyd,5.0,15,0,
Boyd,5.0,16,0,
Boyd,5.0,17,0,
Boyd,5.0,18,0,
Boyd,5.0,19,0,
Boyd,5.0,20,0,
Boyd,5.0,21,0,
Boyd,5.0,22,0,
Boyd,5.0,23,0,
Boyd,5.0,24,0,
Boyd,5.0,25,0,
Boyd,5.0,26,0,
Boyd,5.0,27,0,
Boyd,5.0,28,0,
Boyd,5.0,29,0,
Boyd,5.0,30,0,
Boyd,5.0,31,0,
Boyd,5.0,32,0,
Boyd,5.0,33,0,
Boyd,5.0,34,0,
Boyd,5.0,35,0,
Boyd,5.0,36,0,
Boyd,5.0,37,0,
Boyd,5.0,38,0,
Boyd,5.0,39,0,
Boyd,5.0,40,0,
Boyd,5.0,41,0,
Boyd,5.0,42,0,
Boyd,5.0,43,0,
Boyd,5.0,44,0,
Boyd,2.0,1,0,
Boyd,2.0,2,0,
Boyd,2.0,3,0,
Boyd,2.0,4,0,
Boyd,2.0,5,0,
Boyd,2.0,6,0,
Boyd,2.0,7,0,
Boyd,2.0,8,0,
Boyd,2.0,9,0,
Boyd,2.0,10,0,
Boyd,2.0,11,0,
Boyd,2.0,12,0,
Boyd,2.0,13,0,
Boyd,2.0,14,0,
Boyd,2.0,15,0,
Boyd,2.0,16,0,
Boyd,2.0,17,0,
Boyd,2.0,18,0,
Boyd,2.0,19,0,
Boyd,2.0,20,0,
Boyd,2.0,21,0,
Boyd,2.0,22,0,
Boyd,2.0,23,0,
Boyd,2.0,24,0,
Boyd,2.0,25,0,
Boyd,2.0,26,0,
Boyd,2.0,27,0,
Boyd,2.0,28,0,
Boyd,2.0,29,0,
Boyd,2.0,30,0,
Boyd,2.0,31,0,
Boyd,2.0,32,0,
Boyd,2.0,33,0,
Boyd,2.0,34,0,
Boyd,2.0,35,0,
Boyd,2.0,36,0,
Boyd,2.0,37,0,
Boyd,2.0,38,0,
Boyd,2.0,39,0,
Strange,2.7,1,0,
Strange,2.7,2,0,
Strange,2.7,3,0,
Strange,2.7,4,0,
Strange,2.7,5,0,
Strange,2.7,6,0,
Strange,2.7,7,0,
Strange,2.7,8,0,
Strange,2.7,9,0,
Strange,2.7,10,0,
Strange,2.7,11,0,
Strange,2.7,12,0,
Strange,2.7,13,0,
Strange,2.7,14,0,
Strange,2.7,15,0,
Strange,2.7,16,0,
Strange,2.7,17,0,
Strange,2.7,18,0,
Strange,2.7,19,0,
Strange,2.7,20,0,
Strange,2.7,21,0,
Strange,2.7,22,0,
Strange,2.7,23,0,
Strange,2.7,24,0,
Strange,2.7,25,0,
Strange,2.7,26,0,
Strange,2.7,27,0,
Strange,2.7,28,0,
Strange,2.7,29,0,
Strange,2.7,30,0,
Strange,2.7,31,0,
Strange,2.7,32,0,
Strange,2.7,33,0,
Strange,2.7,34,0,
Strange,2.7,35,0,
Strange,2.7,36,0,
Strange,2.7,37,0,
Strange,2.7,38,0,
Strange,2.7,39,0,
Strange,2.7,40,0,
Strange,2.6,1,0,
Strange,2.6,2,0,
Strange,2.6,3,0,
Strange,2.6,4,0,
Strange,2.6,5,0,
Strange,2.6,6,0,
Strange,2.6,7,0,
Strange,2.6,8,0,
Strange,2.6,9,0,
Strange,2.6,10,0,
Strange,2.6,11,0,
Strange,2.6,12,0,
Strange,2.6,13,0,
Strange,2.6,14,0,
Strange,2.6,15,0,
Strange,2.6,16,0,
Strange,2.6,17,0,
Strange,2.6,18,0,
Strange,2.6,19,0,
Strange,2.6,20,0,
Strange,2.6,21,0,
Strange,2.6,22,0,
Strange,2.6,23,0,
Strange,2.6,24,0,
Strange,2.6,25,0,
Strange,2.6,26,0,
Strange,2.5,1,0,
Strange,2.5,2,0,
Strange,2.5,3,0,
Strange,2.5,4,0,
Strange,2.5,5,0,
Strange,2.5,6,0,
Strange,2.5,7,0,
Strange,2.5,8,0,
Strange,2.5,9,0,
Strange,2.5,10,0,
Strange,2.5,11,0,
Strange,2.5,12,0,
Strange,2.5,13,0,
Strange,2.5,14,0,
Strange,2.5,15,0,
Strange,2.5,16,0,
Strange,2.5,17,0,
Strange,2.5,18,0,
Strange,2.5,19,0,
Strange,2.5,20,0,
Strange,2.5,21,0,
Strange,2.5,22,0,
Strange,2.5,23,0,
Strange,2.5,24,0,
Strange,2.5,25,0,
Strange,2.5,26,0,
Strange,2.5,27,0,
Strange,2.5,28,0,
Strange,2.5,29,0,
Strange,2.5,30,0,
Strange,2.5,31,0,
Strange,2.5,32,0,
Strange,2.5,33,0,
Strange,2.5,34,0,
Strange,2.5,35,0,
Strange,2.5,36,0,
Strange,2.5,37,0,
Strange,2.5,38,0,
Strange,2.5,39,0,
Strange,2.5,40,0,
Strange,2.5,41,0,
Strange,2.5,42,0,
Strange,2.5,43,0,
Strange,2.5,44,0,
Strange,2.5,45,0,
Strange,2.5,46,0,
Strange,2.4,1,0,
Strange,2.4,2,0,
Strange,2.4,3,0,
Strange,2.4,4,0,
Strange,2.4,5,0,
Strange,2.4,6,0,
Strange,2.4,7,0,
Strange,2.4,8,0,
Strange,2.4,9,0,
Strange,2.4,10,0,
Strange,2.4,11,0,
Strange,2.4,12,0,
Strange,2.4,13,0,
Strange,2.4,14,0,
Strange,2.4,15,0,
Strange,2.4,16,0,
Strange,2.4,17,0,
Strange,2.4,18,0,
Strange,2.4,19,0,
Strange,2.4,20,0,
Strange,2.4,21,0,
Strange,2.4,22,0,
Strange,2.4,23,0,
Strange,2.4,24,0,
Strange,2.4,25,0,
Strange,2.4,26,0,
Strange,2.4,27,0,
Strange,2.4,28,0,
Strange,2.4,29,0,
Strange,2.4,30,0,
Strange,2.4,31,0,
Strange,2.4,32,0,
Strange,2.4,33,0,
Strange,2.4,34,0,
Strange,2.4,35,0,
Strange,2.4,36,0,
Strange,2.4,37,0,
Strange,2.3,1,0,
Strange,2.3,2,0,
Strange,2.3,3,0,
Strange,2.3,4,0,
Strange,2.3,5,0,
Strange,2.3,6,0,
Strange,2.3,7,0,
Strange,2.3,8,0,
Strange,2.3,9,0,
Strange,2.3,10,0,
Strange,2.3,11,0,
Strange,2.3,12,0,
Strange,2.3,13,0,
Strange,2.3,14,0,
Strange,2.3,15,0,
Strange,2.3,16,0,
Strange,2.3,17,0,
Strange,2.3,18,0,
Strange,2.3,19,0,
Strange,2.3,20,0,
Strange,2.3,21,0,
Strange,2.3,22,0,
Strange,2.3,23,0,
Strange,2.3,24,0,
Strange,2.3,25,0,
Strange,2.3,26,0,
Strange,2.3,27,0,
Strange,2.3,28,0,
Strange,2.3,29,0,
Strange,2.3,30,0,
Strange,2.3,31,0,
Strange,2.2,1,0,
Strange,2.2,2,0,
Strange,2.2,3,0,
Strange,2.2,4,0,
Strange,2.2,5,0,
Strange,2.2,6,0,
Strange,2.2,7,0,
Strange,2.2,8,0,
Strange,2.2,9,0,
Strange,2.2,10,0,
Strange,2.2,11,0,
Strange,2.2,12,0,
Strange,2.2,13,0,
Strange,2.2,14,0,
Strange,2.2,15,0,
Strange,2.2,16,0,
Strange,2.2,17,0,
Strange,2.2,18,0,
Strange,2.2,19,0,
Strange,2.2,20,0,
Strange,2.2,21,0,
Strange,2.2,22,0,
Strange,2.2,23,0,
Strange,2.2,24,0,
Strange,2.2,25,0,
Strange,2.2,26,0,
Strange,2.2,27,0,
Strange,2.2,28,0,
Strange,2.2,29,0,
Strange,2.2,30,0,
Strange,2.2,31,0,
Strange,2.2,32,0,
Strange,2.1,1,0,
Strange,2.1,2,0,
Strange,2.1,3,0,
Strange,2.1,4,0,
Strange,2.1,5,0,
Strange,2.1,6,0,
Strange,2.1,7,0,
Strange,2.1,8,0,
Strange,2.1,9,0,
Strange,2.1,10,0,
Strange,2.1,11,0,
Strange,2.1,12,0,
Strange,2.1,13,0,
Strange,2.1,14,0,
Strange,2.1,15,0,
Strange,2.1,16,0,
Strange,2.1,17,0,
Strange,2.1,18,0,
Strange,2.1,19,0,
Strange,2.1,20,0,
Strange,2.1,21,0,
Strange,2.1,22,0,
Strange,2.1,23,0,
Strange,2.1,24,0,
Strange,2.1,25,0,
Strange,2.1,26,0,
Strange,2.1,27,0,
Strange,2.1,28,0,
Strange,2.1,29,0,
Strange,2.1,30,0,
Strange,2.1,31,0,
Strange,2.1,32,0,
Strange,2.1,33,0,
Strange,2.1,34,0,
Strange,2.1,35,0,
Strange,1.3,1,0,
Strange,1.3,2,0,
Strange,1.3,3,0,
Strange,1.3,4,0,
Strange,1.3,5,0,
Strange,1.3,6,0,
Strange,1.3,7,0,
Strange,1.3,8,0,
Strange,1.3,9,0,
Strange,1.3,10,0,
Strange,1.3,11,0,
Strange,1.3,12,0,
Strange,1.3,13,0,
Strange,1.3,14,0,
Strange,1.2,1,0,
Strange,1.2,2,0,
Strange,1.2,3,0,
Strange,1.2,4,0,
Strange,1.2,5,0,
Strange,1.2,6,0,
Strange,1.2,7,0,
Strange,1.2,8,0,
Strange,1.2,9,0,
Strange,1.2,10,0,
Strange,1.2,11,0,
Strange,1.2,12,0,
Strange,1.2,13,0,
Strange,1.2,14,0,
Strange,1.2,15,0,
Strange,1.2,16,0,
Strange,1.2,17,0,
Strange,1.2,18,0,
Strange,1.2,19,0,
Strange,1.2,20,0,
Strange,1.2,21,0,
Strange,1.2,22,0,
Strange,1.2,23,0,
Strange,1.2,24,0,
Strange,1.2,25,0,
Strange,1.2,26,0,
Strange,1.2,27,0,
Strange,1.2,28,0,
Strange,1.2,29,0,
Strange,1.2,30,0,
Strange,1.2,31,0,
Strange,1.2,32,0,
Strange,1.1,1,0,
Strange,1.1,2,0,
Strange,1.1,3,0,
Strange,1.1,4,0,
Strange,1.1,5,0,
Strange,1.1,6,0,
Strange,1.1,7,0,
Strange,1.1,8,0,
Strange,1.1,9,0,
Strange,1.1,10,0,
Strange,1.1,11,0,
Strange,1.1,12,0,
Strange,1.1,13,0,
Strange,1.1,14,0,
Strange,1.1,15,0,
Strange,1.1,16,0,
Strange,1.1,17,0,
Strange,1.1,18,0,
Strange,1.1,19,0,
Strange,1.1,20,0,
Strange,1.1,21,0,
Strange,1.1,22,0,
Strange,1.1,23,0,
Strange,1.1,24,0,
Strange,1.1,25,0,
Strange,1.1,26,0,
Strange,1.1,27,0,
Strange,1.1,28,0,
Strange,1.1,29,0,
Strange,1.1,30,0,
Strange,1.1,31,0,
